title,date,run_time,genre,rating,introduction,director,stars,num_votes
Mountains,2023-06-09,95,Drama,7.9,A Haitian demolition worker is faced with the realities of redevelopment as he is tasked with dismantling his rapidly gentrifying neighborhood.,Monica Sorelle,"Atibon Nazaire, Sheila Anozier, Chris Renois, Kerline Alce",12
The Water Flows to the Sea,2023-06-09,123,Drama,5.3,"Naotatsu Kumazawa is set to start high school. To commute to school, he will stay with his uncle, Shigemichi Utagawa's . On a heavily rainy day, Naotatsu arrives at the nearest stop from ...",Tetsu Maeda,"Suzu Hirose, Masanobu Katsumura, Yukiya Kitamura, Kengo Kôra",10
Bell,2023-06-09,,,,,R. Vengat Bhuvan,"Guru Somasundaram, Nitish, Durga, Sridhar Master",
Umbrella,2023-06-09,,Romance,,,Manoj Vishe,"Neha Bam, Sanika Banaraswale, Hemal Ingle, Hiren Komatil",
Paysage aux torchons,2023-06-09,57,"Comedy, Drama",,,"Valentine Guégan, Hugo Lemaire","Emma Zimmermann, Hortense Guégan, Victor Fajardo, Benoit Morin",
Darbar,2023-06-09,,,9.8,"It explores themes of democracy, corruption, and the spirit of the common citizen. The intricacies of election politics raise thoughtful questions about power dynamics and the role of individuals in shaping the democratic process.",V. Manohar,"Jahnvi, Sadhu Kokila, Naveen D. Padil, Sathish",46
Melody Drama,2023-06-09,138,Drama,10,"Karthik and Hita, a young couple who drift apart due to misunderstanding. A year later destiny brings them face to face where they rekindle their love.",Manju Karthik,"Rajesh Nataranga, Anu Prabhakar, Rangayana Raghu, Bala Rajwadi",7
Je'vida,2023-06-09,100,"Drama, History",,"Lida, an elderly Skolt Sámi woman who has abandoned her past under the pressures of assimilation, weaving across three different historical eras to examine the fate of Finland's Indigenous peoples in the post-war period.",Katja Gauriloff,"Matleena Fofonoff, Erkki Gauriloff, Heidi Gauriloff, Seidi Haarla",
Addateegala,2023-06-09,,"Mystery, Thriller",3.1,"A vacation to Maredimilli takes an eerie turn when a psycho killer enters the lives of a software couple, Abhi and Satya. Brace yourself for a series of chilling events as suspense builds and their fight for survival begins.",Gadhiraju Rama Raju,"Dora Babu, Arjun Kalyan, Vasnthi Krishnan, Vinay",21
Neerphool,2023-06-09,,Drama,,,Phulman Bal,"Sarita Giri, Pushkar Gurung, Dayahang Rai, Buddhi Tamang",
They Grow Up So Fast,2023-06-09,10,"Comedy, Thriller",,,John F. Beach,"John F. Beach, Emily Althaus, Martin Spanjers, Madelynn Deason",
1 Rabari Kathe,2023-06-09,138,Action,9.9,The protagonist is born in a poor family. His father goes to jail because of false allegation and commits suicide. His mother also commits suicide. He grows up to be a robber. Will he succeed in stealing the bag?,Gopal Hallar Honnavara,"Rishvi Bhat, Ranadhir Gowda, Shivraj K R Pete",9
Daddy,2023-06-09,,Thriller,,,Austin Iria,"Munachi Abii, Oladipo Dipson, Floyd Igbo, Charles Inojie",
Jemon Jamay Temon Bou,2023-06-09,,Family,,,Montazur Rahman Akbar,"Sohel Babu, Monwar Hossain Dipjol, Nahid Erfan, Priyanka Jaman",
Poye Enugu Poye,2023-06-09,145,"Action, Adventure",,"Ramu's father is a hunter, Jagga get a map of treasure. One Swamiji tells to sacrifice a baby elephant, so hunter gets elephant calf, Ramu finds out that the baby elephant finally elephant calf unite with mother, he changes his father mind",K S Naik,"Raghu Babu, Dhanraj, Prabhakar, Rocket Raghava",
Graham Bullard Movie: Peanuts Meets the Loud House,2023-06-09,89,"Adventure, Comedy, Family",,The Peanuts Gang and The Loud Family all have a big competition to see which series is better. The BFDI characters then decide to go on an adventure to stop them from competing and tell them to be friends.,Graham Bullard,"Addison Bullard, Graham Bullard, Gracie Jones, Erick Martinez",
Iblis Karanligin Sahibi 2,2023-06-09,,Horror,3.8,,Berk Aygül,"Gizem Akgün, Izzet Mürsel Bucak, Öznur Kütük, Savas Özkul",6
The Blind Date,2023-06-09,,Romance,,,Great Valentine Edochie,"Daniel Etim Effiong, Chinelo Ejianwu, Amanda Ezekwueme, Okey Jude",
Katakiuchi,2023-06-09,,"Fantasy, Horror, Thriller",,"Narasimha, a physically disabled waiter, who is suffering due to his psychological wounds by his schoolmates. Narasimha is a weak repressed person,who is seeking revenge with help of a Japanese Samurai executioner Kazu Yamaguchi.",Rahul Kumar Tanwar,"Sonam Paul Tenzing Bhutia, Rahul Kumar Tanwar",
Starfall: Martians Rising,2023-06-09,,"Action, Adventure, Romance",,,Carson Kelly,Carson Kelly,
Mujeres olvidadas,2023-06-09,,,,,,,
Heritage High School Class of 2023 Graduation Video,2023-06-09,,Realitytv,,,Nicholas Kalantar,"Micah Gary Sanders, Isabelle Bisch, Katelyn Safranyos, Noah Acuna",
Tweestrijd,2023-06-09,60,Drama,,,Jelle Kleinhesselink,"Mirea Harlaar, Beaudé Hendriks, Frits Lambrechts, Delphin Metsers",
That One Night,2023-06-09,,Drama,,,Richards Omos-Iboyi,"Eso Dike, Godwin Duru, Rachel Edwards, Mary Lazarus",
Maayro,2023-06-09,,,,,Hemanth Seervi,"Neha Banwani, Mahendar Garg, Ajay Karan Joshi, Gajendra Singh Mandli",
Hakoniwa,2023-06-09,71,Scifi,,"To contribute to a better world filled with kindness, a young man named Makoto, joins a brain experiment to connect his brain waves with a female humanoid, Ageha, who has a human brain ...",Hiroki Wakamatsu,"Ryûtarô Akimoto, Takashi Irie, Noriko Kohara, Shinichirô Matsuura",
At the booth,2023-06-09,,Biography,,,Vincent Turner,"Jackson Jdub$ Brown, Brandon Garner",
